player_name,matches_played,innings,total_runs,total_wickets,strike_rate,batting_average,economy,bowling_average,highest_score,highest_score_opponent,best_bowling,best_bowling_opponent,hundreds,fifties,teams_played
"Anuj Rawat",21,21,318,NULL,115.22,22.71,NULL,NULL,66,"Mumbai Indians",NULL,NULL,NULL,1,"Rajasthan Royals
Royal Challengers Bengaluru"
"Anureet Singh",22,8,36,18,76.60,9.00,9.26,35.33,15,"Sunrisers Hyderabad",3/23,"Rajasthan Royals",NULL,NULL,"Punjab Kings
Rajasthan Royals"
"AP Dole",3,2,34,5,147.83,17.00,10.36,22.80,30,"Mumbai Indians",2/36,"Punjab Kings",NULL,NULL,"Rajasthan Royals"
"AP Majumdar",4,4,87,NULL,112.99,21.75,NULL,NULL,31,"Royal Challengers Bengaluru",NULL,NULL,NULL,NULL,"Pune Warriors"
"AP Tare",27,27,339,NULL,118.95,14.13,NULL,NULL,59,"Rajasthan Royals",NULL,NULL,NULL,1,"Delhi Capitals
Mumbai Indians
Sunrisers Hyderabad"
"AR Bawne",1,1,12,NULL,100.00,NULL,NULL,NULL,12,"Kolkata Knight Riders",NULL,NULL,NULL,NULL,"Delhi Capitals"
"AR Patel",150,112,1653,123,125.42,22.34,7.39,31.09,66,"Gujarat Titans",4/21,"Gujarat Lions",NULL,3,"Delhi Capitals
Punjab Kings"
"Arjun Tendulkar",5,1,13,3,144.44,13.00,9.62,39.00,13,"Gujarat Titans",1/9,"Gujarat Titans",NULL,NULL,"Mumbai Indians"
"Arshad Khan",9,6,96,6,143.28,32.00,12.63,47.00,58,"Delhi Capitals",3/39,"Rajasthan Royals",NULL,1,"Lucknow Super Giants
Mumbai Indians"
"Arshad Khan (2)",1,1,5,NULL,125.00,5.00,12.50,NULL,5,"Kolkata Knight Riders",0/24,"Kolkata Knight Riders",NULL,NULL,"Lucknow Super Giants"
"Arshdeep Singh",65,11,29,76,69.05,5.80,9.22,27.59,10,"Gujarat Titans",5/32,"Rajasthan Royals",NULL,NULL,"Punjab Kings"
"AS Joseph",22,5,27,21,84.38,27.00,9.77,33.67,15,"Punjab Kings",6/12,"Sunrisers Hyderabad",NULL,NULL,"Gujarat Titans
Mumbai Indians"
"AS Rajpoot",29,7,26,24,63.41,6.50,9.55,35.17,8,"Sunrisers Hyderabad",5/14,"Sunrisers Hyderabad",NULL,NULL,"Chennai Super Kings
Kolkata Knight Riders
Punjab Kings
Rajasthan Royals"
"AS Raut",17,16,194,NULL,112.79,21.56,9.00,NULL,36,"Deccan Chargers",0/6,"Royal Challengers Bengaluru",NULL,NULL,"Rajasthan Royals"
"AS Roy",10,6,26,5,108.33,8.67,8.43,38.20,13,"Sunrisers Hyderabad",2/19,"Delhi Capitals",NULL,NULL,"Kolkata Knight Riders"
"AS Yadav",6,6,49,NULL,122.50,9.80,NULL,NULL,16,"Rajasthan Royals",NULL,NULL,NULL,NULL,"Deccan Chargers"
"Ashutosh Sharma",9,9,189,NULL,160.17,27.00,NULL,NULL,61,"Mumbai Indians",NULL,NULL,NULL,1,"Punjab Kings"
"AT Carey",3,3,32,NULL,110.34,16.00,NULL,NULL,14,"Mumbai Indians",NULL,NULL,NULL,NULL,"Delhi Capitals"
"AT Rayudu",185,185,4348,NULL,124.58,29.38,NULL,NULL,100,"Sunrisers Hyderabad",NULL,NULL,1,22,"Chennai Super Kings
Mumbai Indians"
"Atharva Taide",9,9,247,NULL,139.55,30.88,24.00,NULL,66,"Lucknow Super Giants",0/4,"Sunrisers Hyderabad",NULL,2,"Punjab Kings"
"AU Rashid",3,2,22,2,129.41,11.00,9.10,45.50,18,"Rajasthan Royals",2/23,"Lucknow Super Giants",NULL,NULL,"Sunrisers Hyderabad"
"AUK Pathan",7,7,39,NULL,150.00,7.80,9.69,NULL,14,"Chennai Super Kings",0/14,"Punjab Kings",NULL,NULL,"Royal Challengers Bengaluru"
"Avesh Khan",62,9,41,74,164.00,41.00,9.03,27.16,12,"Gujarat Titans",4/24,"Sunrisers Hyderabad",NULL,NULL,"Delhi Capitals
Lucknow Super Giants
Rajasthan Royals"
"Azhar Mahmood",23,21,388,29,124.76,20.42,7.90,24.38,80,"Mumbai Indians",3/20,"Royal Challengers Bengaluru",NULL,2,"Kolkata Knight Riders
Punjab Kings"
"Azmatullah Omarzai",7,4,42,4,123.53,10.50,9.24,48.50,17,"Mumbai Indians",2/27,"Mumbai Indians",NULL,NULL,"Gujarat Titans"
"B Akhil",15,11,76,6,133.33,15.20,7.85,41.00,27,"Deccan Chargers",2/17,"Mumbai Indians",NULL,NULL,"Kochi Tuskers Kerala
Royal Challengers Bengaluru"
"B Chipli",21,21,280,NULL,109.38,18.67,20.00,NULL,61,"Royal Challengers Bengaluru",0/20,"Delhi Capitals",NULL,1,"Deccan Chargers
Delhi Capitals
Royal Challengers Bengaluru"
"B Geeves",2,NULL,NULL,1,NULL,NULL,11.38,91.00,NULL,NULL,1/50,"Mumbai Indians",NULL,NULL,NULL
"B Indrajith",3,3,21,NULL,67.74,7.00,NULL,NULL,15,"Rajasthan Royals",NULL,NULL,NULL,NULL,"Kolkata Knight Riders"
"B Kumar",176,65,306,181,90.53,9.56,7.75,27.91,27,"Gujarat Titans",5/19,"Punjab Kings",NULL,NULL,"Pune Warriors
Sunrisers Hyderabad"
"B Laughlin",9,4,5,10,38.46,2.50,10.14,28.40,4,"Mumbai Indians",2/15,"Royal Challengers Bengaluru",NULL,NULL,"Chennai Super Kings
Rajasthan Royals"
"B Lee",38,19,124,25,121.57,13.78,7.72,45.04,25,"Rajasthan Royals",3/15,"Delhi Capitals",NULL,NULL,"Kolkata Knight Riders
Punjab Kings"
"B Sai Sudharsan",25,25,1034,NULL,134.29,49.24,NULL,NULL,103,"Chennai Super Kings",NULL,NULL,1,6,"Gujarat Titans"
"B Stanlake",6,1,5,7,250.00,NULL,8.33,28.57,5,"Mumbai Indians",2/21,"Kolkata Knight Riders",NULL,NULL,"Sunrisers Hyderabad"
"B Sumanth",4,4,35,NULL,92.11,35.00,NULL,NULL,16,"Chennai Super Kings",NULL,NULL,NULL,NULL,"Deccan Chargers"
"BA Bhatt",15,2,6,12,85.71,NULL,8.27,34.00,6,"Kolkata Knight Riders",4/22,"Mumbai Indians",NULL,NULL,"Punjab Kings"
"BA Stokes",45,43,935,28,130.22,24.61,8.91,36.54,107,"Mumbai Indians",3/15,"Kolkata Knight Riders",2,2,"Chennai Super Kings
Rajasthan Royals
Rising Pune Supergiant"
"Basil Thampi",25,7,32,22,86.49,32.00,9.93,39.18,13,"Sunrisers Hyderabad",3/29,"Mumbai Indians",NULL,NULL,"Gujarat Lions
Sunrisers Hyderabad"
"BAW Mendis",10,3,3,8,50.00,1.50,7.52,38.25,2,"Royal Challengers Bengaluru",2/22,"Delhi Capitals",NULL,NULL,"Kolkata Knight Riders
Pune Warriors"
"BB McCullum",109,111,2882,NULL,126.85,28.25,NULL,NULL,158,"Royal Challengers Bengaluru",NULL,NULL,2,13,"Chennai Super Kings
Gujarat Lions
Kochi Tuskers Kerala
Kolkata Knight Riders
Royal Challengers Bengaluru"
"BB Samantray",8,8,125,NULL,107.76,25.00,NULL,NULL,55,"Rajasthan Royals",NULL,NULL,NULL,1,"Deccan Chargers
Sunrisers Hyderabad"
"BB Sran",24,7,10,18,71.43,10.00,9.53,42.61,3,"Kolkata Knight Riders",3/28,"Mumbai Indians",NULL,NULL,"Mumbai Indians
Punjab Kings
Sunrisers Hyderabad"
"BCJ Cutting",21,17,238,10,163.01,23.80,9.18,43.00,39,"Royal Challengers Bengaluru",2/20,"Gujarat Lions",NULL,NULL,"Mumbai Indians
Rajasthan Royals
Sunrisers Hyderabad"
"BE Hendricks",7,2,1,9,33.33,1.00,9.56,26.56,1,"Chennai Super Kings",3/36,"Delhi Capitals",NULL,NULL,"Punjab Kings"
"Bipul Sharma",29,17,187,17,150.81,31.17,8.18,34.18,35,"Pune Warriors",2/13,"Punjab Kings",NULL,NULL,"Punjab Kings
Sunrisers Hyderabad"
"BJ Haddin",1,1,18,NULL,163.64,18.00,NULL,NULL,18,"Royal Challengers Bengaluru",NULL,NULL,NULL,NULL,"Kolkata Knight Riders"
"BJ Hodge",63,63,1400,17,121.42,34.15,7.95,18.24,73,"Mumbai Indians",4/13,"Rajasthan Royals",NULL,6,"Kochi Tuskers Kerala
Kolkata Knight Riders
Rajasthan Royals"
"BJ Rohrer",8,9,193,NULL,132.19,27.57,12.00,NULL,64,"Rajasthan Royals",0/12,"Rajasthan Royals",NULL,1,"Delhi Capitals"
"BMAJ Mendis",3,3,23,1,85.19,7.67,7.20,36.00,12,"Chennai Super Kings",1/16,"Sunrisers Hyderabad",NULL,NULL,"Delhi Capitals"
"BR Dunk",3,3,40,NULL,111.11,13.33,NULL,NULL,20,"Sunrisers Hyderabad",NULL,NULL,NULL,NULL,"Mumbai Indians"
"BR Sharath",1,1,2,NULL,40.00,2.00,NULL,NULL,2,"Lucknow Super Giants",NULL,NULL,NULL,NULL,"Gujarat Titans"
"BW Hilfenhaus",17,NULL,NULL,22,NULL,NULL,8.02,22.59,NULL,NULL,3/27,"Delhi Capitals",NULL,NULL,NULL
"C de Grandhomme",25,21,303,6,132.31,21.64,8.97,53.83,40,"Sunrisers Hyderabad",3/4,"Royal Challengers Bengaluru",NULL,NULL,"Kolkata Knight Riders
Royal Challengers Bengaluru"
"C Ganapathy",1,NULL,NULL,NULL,NULL,NULL,13.00,NULL,NULL,NULL,0/13,"Royal Challengers Bengaluru",NULL,NULL,NULL
"C Green",29,28,707,16,149.79,41.59,9.23,42.19,100,"Sunrisers Hyderabad",2/12,"Sunrisers Hyderabad",1,2,"Mumbai Indians
Royal Challengers Bengaluru"
"C Madan",1,1,15,NULL,71.43,15.00,NULL,NULL,15,"Delhi Capitals",NULL,NULL,NULL,NULL,"Mumbai Indians"
"C Munro",12,11,177,NULL,122.92,19.67,7.50,NULL,40,"Sunrisers Hyderabad",0/7,"Delhi Capitals",NULL,NULL,"Delhi Capitals
Kolkata Knight Riders"
"C Nanda",3,1,0,2,0.00,0.00,7.25,29.00,0,"Rajasthan Royals",1/4,"Rajasthan Royals",NULL,NULL,"Mumbai Indians"
"C Sakariya",19,7,20,20,64.52,4.00,8.59,30.50,7,"Punjab Kings",3/31,"Punjab Kings",NULL,NULL,"Delhi Capitals
Rajasthan Royals"
"CA Ingram",15,15,205,NULL,112.02,17.08,NULL,NULL,47,"Mumbai Indians",NULL,NULL,NULL,NULL,"Delhi Capitals"
"CA Lynn",42,42,1329,NULL,136.45,34.97,NULL,NULL,93,"Gujarat Lions",NULL,NULL,NULL,10,"Deccan Chargers
Kolkata Knight Riders
Mumbai Indians"
"CA Pujara",22,22,390,NULL,96.77,21.67,NULL,NULL,51,"Punjab Kings",NULL,NULL,NULL,1,"Kolkata Knight Riders
Punjab Kings
Royal Challengers Bengaluru"
"CH Gayle",141,145,4997,18,142.12,39.98,8.18,41.94,175,"Pune Warriors",3/21,"Punjab Kings",6,32,"Kolkata Knight Riders
Punjab Kings
Royal Challengers Bengaluru"
"CH Morris",81,49,618,96,149.64,22.07,8.26,24.76,82,"Gujarat Lions",4/23,"Kolkata Knight Riders",NULL,2,"Chennai Super Kings
Delhi Capitals
Rajasthan Royals
Royal Challengers Bengaluru"
"CJ Anderson",30,29,538,11,123.39,24.45,10.61,47.73,95,"Rajasthan Royals",2/18,"Sunrisers Hyderabad",NULL,3,"Delhi Capitals
Mumbai Indians
Royal Challengers Bengaluru"
"CJ Dala",1,NULL,NULL,NULL,NULL,NULL,11.33,NULL,NULL,NULL,0/34,"Royal Challengers Bengaluru",NULL,NULL,NULL
"CJ Ferguson",8,8,98,NULL,82.35,16.33,NULL,NULL,23,"Rajasthan Royals",NULL,NULL,NULL,NULL,"Pune Warriors"
"CJ Green",1,NULL,NULL,NULL,NULL,NULL,8.47,NULL,NULL,NULL,0/24,"Mumbai Indians",NULL,NULL,NULL
"CJ Jordan",34,12,81,30,100.00,9.00,9.89,37.03,30,"Kolkata Knight Riders",4/11,"Gujarat Lions",NULL,NULL,"Chennai Super Kings
Mumbai Indians
Punjab Kings
Royal Challengers Bengaluru
Sunrisers Hyderabad"
"CJ McKay",2,1,8,1,53.33,8.00,8.57,60.00,8,"Delhi Capitals",1/36,"Punjab Kings",NULL,NULL,"Mumbai Indians"
"CK Kapugedera",4,3,16,NULL,66.67,5.33,17.29,NULL,8,"Delhi Capitals",0/8,"Punjab Kings",NULL,NULL,"Chennai Super Kings"
"CK Langeveldt",7,2,8,13,88.89,4.00,7.65,15.31,8,"Punjab Kings",3/15,"Rajasthan Royals",NULL,NULL,"Kolkata Knight Riders
Royal Challengers Bengaluru"
"CL White",45,46,971,1,125.45,28.56,12.29,86.00,78,"Pune Warriors",1/14,"Royal Challengers Bengaluru",NULL,6,"Deccan Chargers
Royal Challengers Bengaluru
Sunrisers Hyderabad"
"CM Gautam",13,13,169,NULL,106.96,18.78,NULL,NULL,33,"Punjab Kings",NULL,NULL,NULL,NULL,"Delhi Capitals
Mumbai Indians"
"CR Brathwaite",16,14,181,13,150.83,13.92,9.07,29.54,43,"Chennai Super Kings",3/47,"Kolkata Knight Riders",NULL,NULL,"Delhi Capitals
Kolkata Knight Riders
Sunrisers Hyderabad"
"CR Woakes",21,12,78,30,101.30,15.60,9.19,22.47,18,"Royal Challengers Bengaluru",3/6,"Royal Challengers Bengaluru",NULL,NULL,"Delhi Capitals
Kolkata Knight Riders
Royal Challengers Bengaluru"
"CRD Fernando",10,2,4,17,133.33,NULL,7.85,18.00,2,"Punjab Kings",4/18,"Royal Challengers Bengaluru",NULL,NULL,"Mumbai Indians"
"CV Varun",70,10,25,83,51.02,12.50,7.71,24.60,10,"Royal Challengers Bengaluru",5/20,"Delhi Capitals",NULL,NULL,"Kolkata Knight Riders"
"D Brevis",10,10,230,1,130.68,23.00,16.00,8.00,49,"Punjab Kings",1/8,"Royal Challengers Bengaluru",NULL,NULL,"Mumbai Indians"
"D du Preez",2,1,10,4,76.92,10.00,8.00,14.00,10,"Rajasthan Royals",3/32,"Mumbai Indians",NULL,NULL,"Royal Challengers Bengaluru"
"D Ferreira",2,2,8,NULL,72.73,4.00,NULL,NULL,7,"Punjab Kings",NULL,NULL,NULL,NULL,"Rajasthan Royals"
"D Jansen",1,NULL,NULL,1,NULL,NULL,13.25,53.00,NULL,NULL,1/53,"Kolkata Knight Riders",NULL,NULL,NULL
"D Kalyankrishna",3,1,3,2,37.50,3.00,11.00,44.00,3,"Punjab Kings",1/30,"Rajasthan Royals",NULL,NULL,"Deccan Chargers"
"D Padikkal",64,64,1559,NULL,117.84,25.56,NULL,NULL,101,"Rajasthan Royals",NULL,NULL,1,9,"Lucknow Super Giants
Rajasthan Royals
Royal Challengers Bengaluru"
"D Pretorius",7,5,44,6,157.14,11.00,9.68,40.33,22,"Mumbai Indians",2/30,"Punjab Kings",NULL,NULL,"Chennai Super Kings"
"D Salunkhe",5,3,33,1,137.50,33.00,10.21,80.00,26,"Delhi Capitals",1/21,"Punjab Kings",NULL,NULL,"Rajasthan Royals"
"D Wiese",18,11,148,16,140.95,29.60,9.06,27.94,47,"Mumbai Indians",4/33,"Mumbai Indians",NULL,NULL,"Kolkata Knight Riders
Royal Challengers Bengaluru"
"DA Miller",123,124,2924,NULL,134.68,37.01,NULL,NULL,101,"Royal Challengers Bengaluru",NULL,NULL,1,13,"Gujarat Titans
Punjab Kings
Rajasthan Royals"
"DA Warner",184,187,6567,NULL,135.43,41.56,12.00,NULL,126,"Kolkata Knight Riders",0/2,"Delhi Capitals",4,62,"Delhi Capitals
Sunrisers Hyderabad"
"DAJ Bracewell",1,1,12,3,133.33,NULL,8.00,10.67,12,"Royal Challengers Bengaluru",3/32,"Royal Challengers Bengaluru",NULL,NULL,"Delhi Capitals"
"DB Das",22,22,304,NULL,113.86,25.33,NULL,NULL,35,"Punjab Kings",NULL,NULL,NULL,NULL,"Kolkata Knight Riders"
"DB Ravi Teja",25,25,375,1,115.38,19.74,9.33,28.00,60,"Punjab Kings",1/19,"Royal Challengers Bengaluru",NULL,1,"Deccan Chargers
Sunrisers Hyderabad"
"DE Bollinger",27,4,21,37,91.30,21.00,7.46,19.35,16,"Delhi Capitals",4/13,"Deccan Chargers",NULL,NULL,"Chennai Super Kings"
"DG Nalkande",6,2,12,6,100.00,6.00,10.71,25.00,12,"Lucknow Super Giants",2/21,"Lucknow Super Giants",NULL,NULL,"Gujarat Titans"
"DH Yagnik",17,17,170,NULL,119.72,18.89,NULL,NULL,34,"Mumbai Indians",NULL,NULL,NULL,NULL,"Rajasthan Royals"
"Dhruv Jurel",22,22,347,NULL,146.41,26.69,NULL,NULL,56,"Sunrisers Hyderabad",NULL,NULL,NULL,2,"Rajasthan Royals"
"DJ Bravo",160,110,1560,183,125.10,22.94,8.53,24.24,70,"Punjab Kings",4/22,"Punjab Kings",NULL,5,"Chennai Super Kings
Gujarat Lions
Mumbai Indians"
"DJ Harris",4,4,111,NULL,107.77,37.00,8.67,NULL,47,"Royal Challengers Bengaluru",0/11,"Chennai Super Kings",NULL,NULL,"Deccan Chargers"
"DJ Hooda",101,97,1466,10,125.30,19.81,8.61,53.50,64,"Rajasthan Royals",2/16,"Kolkata Knight Riders",NULL,8,"Lucknow Super Giants
Punjab Kings
Rajasthan Royals
Sunrisers Hyderabad"
"DJ Hussey",61,61,1322,8,120.07,28.74,9.18,60.63,71,"Punjab Kings",2/2,"Deccan Chargers",NULL,5,"Chennai Super Kings
Kolkata Knight Riders
Punjab Kings"
"DJ Jacobs",7,7,92,NULL,91.09,13.14,NULL,NULL,32,"Deccan Chargers",NULL,NULL,NULL,NULL,"Mumbai Indians"
"DJ Malan",1,1,26,NULL,100.00,26.00,NULL,NULL,26,"Delhi Capitals",NULL,NULL,NULL,NULL,"Punjab Kings"
"DJ Mitchell",15,15,351,1,128.10,27.00,12.13,97.00,63,"Gujarat Titans",1/18,"Gujarat Titans",NULL,2,"Chennai Super Kings
Rajasthan Royals"
"DJ Muthuswami",6,1,1,4,33.33,1.00,7.71,27.00,1,"Royal Challengers Bengaluru",2/18,"Kolkata Knight Riders",NULL,NULL,"Delhi Capitals"
"DJ Thornely",5,4,39,3,72.22,13.00,5.71,13.33,30,"Delhi Capitals",2/7,"Kolkata Knight Riders",NULL,NULL,"Mumbai Indians"
"DJ Willey",11,5,53,6,82.81,26.50,7.69,46.17,20,"Kolkata Knight Riders",2/16,"Kolkata Knight Riders",NULL,NULL,"Royal Challengers Bengaluru"
"DJG Sammy",22,20,295,11,117.53,19.67,9.00,32.18,60,"Rajasthan Royals",4/22,"Punjab Kings",NULL,1,"Royal Challengers Bengaluru
Sunrisers Hyderabad"
"DJM Short",7,7,115,1,112.75,16.43,7.67,23.00,44,"Delhi Capitals",1/10,"Royal Challengers Bengaluru",NULL,NULL,"Rajasthan Royals"
"DL Chahar",81,12,80,77,131.15,11.43,8.06,29.13,39,"Punjab Kings",4/13,"Punjab Kings",NULL,NULL,"Chennai Super Kings
Rising Pune Supergiant"
"DL Vettori",34,16,121,28,102.54,17.29,6.90,31.93,29,"Rajasthan Royals",3/15,"Punjab Kings",NULL,NULL,"Delhi Capitals
Royal Challengers Bengaluru"
"DM Bravo",1,1,6,NULL,120.00,NULL,NULL,NULL,6,"Rising Pune Supergiant",NULL,NULL,NULL,NULL,"Kolkata Knight Riders"
"DNT Zoysa",3,2,11,2,122.22,11.00,9.09,50.00,10,"Mumbai Indians",1/30,"Mumbai Indians",NULL,NULL,"Deccan Chargers"
"DP Conway",22,22,924,NULL,138.12,48.63,NULL,NULL,92,"Punjab Kings",NULL,NULL,NULL,9,"Chennai Super Kings"
"DP Nannes",29,2,4,28,30.77,4.00,7.57,29.11,3,"Mumbai Indians",3/27,"Mumbai Indians",NULL,NULL,"Delhi Capitals"
"DP Vijaykumar",9,1,1,4,100.00,NULL,8.09,51.25,1,"Delhi Capitals",1/17,"Chennai Super Kings",NULL,NULL,"Deccan Chargers"
"DPMD Jayawardene",78,79,1808,NULL,118.79,30.64,NULL,NULL,110,"Kolkata Knight Riders",NULL,NULL,1,10,"Delhi Capitals
Kochi Tuskers Kerala
Punjab Kings"
"DR Martyn",1,1,19,NULL,73.08,19.00,NULL,NULL,19,"Royal Challengers Bengaluru",NULL,NULL,NULL,NULL,"Rajasthan Royals"
"DR Sams",16,13,44,14,91.67,4.89,8.80,37.71,15,"Sunrisers Hyderabad",4/30,"Chennai Super Kings",NULL,NULL,"Delhi Capitals
Mumbai Indians
Royal Challengers Bengaluru"
"DR Shorey",2,2,13,NULL,65.00,6.50,NULL,NULL,8,"Royal Challengers Bengaluru",NULL,NULL,NULL,NULL,"Chennai Super Kings"
"DR Smith",91,88,2385,26,132.28,29.81,9.18,31.73,87,"Rajasthan Royals",4/8,"Kolkata Knight Riders",NULL,17,"Chennai Super Kings
Deccan Chargers
Gujarat Lions
Mumbai Indians"
"DS Kulkarni",92,20,104,86,92.04,13.00,8.44,29.22,28,"Chennai Super Kings",4/14,"Royal Challengers Bengaluru",NULL,NULL,"Gujarat Lions
Mumbai Indians
Rajasthan Royals"
"DS Lehmann",2,2,18,NULL,94.74,9.00,NULL,NULL,17,"Punjab Kings",NULL,NULL,NULL,NULL,"Rajasthan Royals"
"DT Christian",49,41,460,38,112.75,17.04,8.28,32.05,39,"Mumbai Indians",2/10,"Punjab Kings",NULL,NULL,"Deccan Chargers
Delhi Capitals
Rising Pune Supergiant
Royal Challengers Bengaluru"
"DT Patil",2,2,13,NULL,100.00,13.00,NULL,NULL,9,"Rajasthan Royals",NULL,NULL,NULL,NULL,"Royal Challengers Bengaluru"
"DW Steyn",95,33,167,97,102.45,8.35,7.10,26.63,19,"Mumbai Indians",3/8,"Royal Challengers Bengaluru",NULL,NULL,"Deccan Chargers
Gujarat Lions
Royal Challengers Bengaluru
Sunrisers Hyderabad"
"E Lewis",26,26,654,NULL,131.06,27.25,NULL,NULL,65,"Royal Challengers Bengaluru",NULL,NULL,NULL,4,"Lucknow Super Giants
Mumbai Indians
Rajasthan Royals"
"EJG Morgan",74,75,1406,NULL,119.05,23.83,NULL,NULL,68,"Rajasthan Royals",NULL,NULL,NULL,5,"Kolkata Knight Riders
Punjab Kings
Royal Challengers Bengaluru
Sunrisers Hyderabad"
"ER Dwivedi",2,2,24,NULL,160.00,12.00,NULL,NULL,19,"Royal Challengers Bengaluru",NULL,NULL,NULL,NULL,"Gujarat Lions"
"F Behardien",3,3,14,NULL,107.69,7.00,NULL,NULL,9,"Royal Challengers Bengaluru",NULL,NULL,NULL,NULL,"Punjab Kings"
"F du Plessis",138,138,4571,NULL,133.07,38.41,16.00,NULL,96,"Punjab Kings",0/16,"Deccan Chargers",NULL,37,"Chennai Super Kings
Rising Pune Supergiant
Royal Challengers Bengaluru"
"FA Allen",5,3,14,2,73.68,7.00,9.07,68.00,8,"Lucknow Super Giants",1/22,"Sunrisers Hyderabad",NULL,NULL,"Mumbai Indians
Punjab Kings"
"Fazalhaq Farooqi",7,2,3,6,23.08,NULL,9.04,38.17,2,"Royal Challengers Bengaluru",2/32,"Punjab Kings",NULL,NULL,"Sunrisers Hyderabad"
"FH Edwards",6,2,4,5,80.00,4.00,6.86,32.00,3,"Royal Challengers Bengaluru",2/27,"Mumbai Indians",NULL,NULL,"Deccan Chargers"
"FY Fazal",12,11,183,NULL,102.23,20.33,10.00,NULL,45,"Punjab Kings",0/6,"Punjab Kings",NULL,NULL,"Rajasthan Royals"
"G Coetzee",10,5,14,13,63.64,3.50,10.66,27.46,8,"Kolkata Knight Riders",4/34,"Delhi Capitals",NULL,NULL,"Mumbai Indians"
"G Gambhir",151,151,4217,NULL,119.67,32.95,NULL,NULL,93,"Royal Challengers Bengaluru",NULL,NULL,NULL,36,"Delhi Capitals
Kolkata Knight Riders"
"Gagandeep Singh",4,NULL,NULL,3,NULL,NULL,10.14,47.33,NULL,NULL,1/33,"Deccan Chargers",NULL,NULL,NULL
"GB Hogg",21,4,22,23,100.00,11.00,7.66,25.43,13,"Royal Challengers Bengaluru",4/29,"Chennai Super Kings",NULL,NULL,"Kolkata Knight Riders
Rajasthan Royals"
"GC Smith",29,29,739,NULL,106.95,28.42,NULL,NULL,91,"Chennai Super Kings",NULL,NULL,NULL,4,"Pune Warriors
Rajasthan Royals"
"GC Viljoen",6,3,3,7,42.86,1.50,9.96,32.71,2,"Delhi Capitals",2/39,"Delhi Capitals",NULL,NULL,"Punjab Kings"
"GD McGrath",14,2,4,12,80.00,4.00,6.78,30.50,4,"Rajasthan Royals",4/29,"Royal Challengers Bengaluru",NULL,NULL,"Delhi Capitals"
"GD Phillips",8,8,65,2,118.18,9.29,8.00,20.00,25,"Rajasthan Royals",1/10,"Lucknow Super Giants",NULL,NULL,"Rajasthan Royals
Sunrisers Hyderabad"
"GH Vihari",23,23,284,1,85.80,14.95,6.86,48.00,46,"Punjab Kings",1/5,"Royal Challengers Bengaluru",NULL,NULL,"Delhi Capitals
Sunrisers Hyderabad"
"GHS Garton",5,2,2,3,50.00,2.00,9.07,45.33,2,"Sunrisers Hyderabad",1/27,"Punjab Kings",NULL,NULL,"Royal Challengers Bengaluru"
"GJ Bailey",36,36,663,NULL,120.11,25.50,NULL,NULL,61,"Mumbai Indians",NULL,NULL,NULL,2,"Chennai Super Kings
Punjab Kings
Rising Pune Supergiant"
"GJ Maxwell",133,129,2772,37,150.49,25.67,8.33,35.43,95,"Sunrisers Hyderabad",2/15,"Royal Challengers Bengaluru",NULL,18,"Delhi Capitals
Mumbai Indians
Punjab Kings
Royal Challengers Bengaluru"
"GR Napier",1,1,15,1,93.75,15.00,7.00,28.00,15,"Kolkata Knight Riders",1/27,"Kolkata Knight Riders",NULL,NULL,"Mumbai Indians"
"GS Sandhu",2,NULL,NULL,1,NULL,NULL,10.75,86.00,NULL,NULL,1/33,"Chennai Super Kings",NULL,NULL,NULL
"Gulbadin Naib",2,1,19,NULL,126.67,19.00,12.00,NULL,19,"Rajasthan Royals",0/12,"Lucknow Super Giants",NULL,NULL,"Delhi Capitals"
"Gurkeerat Singh",32,32,511,5,117.20,21.29,7.46,19.40,65,"Sunrisers Hyderabad",2/15,"Rising Pune Supergiant",NULL,2,"Punjab Kings
Royal Challengers Bengaluru"
"Gurnoor Brar",1,NULL,NULL,NULL,NULL,NULL,14.00,NULL,NULL,NULL,0/42,"Lucknow Super Giants",NULL,NULL,NULL
"H Das",1,1,2,NULL,40.00,2.00,NULL,NULL,2,"Mumbai Indians",NULL,NULL,NULL,NULL,"Deccan Chargers"
"H Klaasen",32,32,993,NULL,161.99,38.19,NULL,NULL,104,"Royal Challengers Bengaluru",NULL,NULL,1,6,"Rajasthan Royals
Royal Challengers Bengaluru
Sunrisers Hyderabad"
"H Sharma",2,NULL,NULL,NULL,NULL,NULL,12.40,NULL,NULL,NULL,0/28,"Gujarat Titans",NULL,NULL,NULL
"Harbhajan Singh",163,88,833,150,130.97,16.33,7.20,27.34,64,"Punjab Kings",5/18,"Chennai Super Kings",NULL,1,"Chennai Super Kings
Kolkata Knight Riders
Mumbai Indians"
"Harmeet Singh",28,4,18,27,150.00,9.00,8.16,27.67,14,"Kolkata Knight Riders",3/24,"Pune Warriors",NULL,NULL,"Deccan Chargers
Punjab Kings"
"Harpreet Brar",39,24,233,25,115.92,21.18,8.01,36.28,29,"Gujarat Titans",4/30,"Delhi Capitals",NULL,NULL,"Punjab Kings"
"Harpreet Singh",8,8,123,NULL,103.36,20.50,NULL,NULL,41,"Mumbai Indians",NULL,NULL,NULL,NULL,"Pune Warriors
Punjab Kings"
"Harshit Rana",19,3,2,25,66.67,1.00,9.19,23.60,2,"Lucknow Super Giants",3/24,"Lucknow Super Giants",NULL,NULL,"Kolkata Knight Riders"
