player_name,matches_played,innings,total_runs,total_wickets,strike_rate,batting_average,economy,bowling_average,highest_score,highest_score_opponent,best_bowling,best_bowling_opponent,hundreds,fifties,teams_played
"V Kohli",245,246,8014,4,128.51,39.09,8.87,92.75,113,"Punjab Kings",2/25,"Deccan Chargers",8,56,"Royal Challengers Bengaluru"
"V Pratap Singh",9,1,0,10,0.00,0.00,8.82,30.00,0,"Mumbai Indians",2/31,"Rajasthan Royals",NULL,NULL,"Deccan Chargers"
"V Sehwag",104,104,2728,6,148.83,28.72,10.41,39.33,122,"Chennai Super Kings",2/18,"Chennai Super Kings",2,16,"Delhi Capitals
Punjab Kings"
"V Shankar",64,58,1115,9,125.28,25.93,8.67,38.22,63,"Kolkata Knight Riders",2/19,"Mumbai Indians",NULL,6,"Delhi Capitals
Gujarat Titans
Sunrisers Hyderabad"
"V Viyaskanth",3,1,7,1,140.00,NULL,9.00,90.00,7,"Kolkata Knight Riders",1/37,"Punjab Kings",NULL,NULL,"Sunrisers Hyderabad"
"VG Arora",20,7,9,19,52.94,4.50,9.34,31.47,2,"Sunrisers Hyderabad",3/27,"Delhi Capitals",NULL,NULL,"Kolkata Knight Riders
Punjab Kings"
"VH Zol",2,2,29,NULL,111.54,14.50,NULL,NULL,16,"Rajasthan Royals",NULL,NULL,NULL,NULL,"Royal Challengers Bengaluru"
"Vijaykumar Vyshak",11,4,14,13,107.69,7.00,10.29,30.46,13,"Kolkata Knight Riders",3/20,"Delhi Capitals",NULL,NULL,"Royal Challengers Bengaluru"
"Virat Singh",2,2,15,NULL,57.69,7.50,NULL,NULL,11,"Mumbai Indians",NULL,NULL,NULL,NULL,"Sunrisers Hyderabad"
"Vishnu Vinod",6,6,56,NULL,96.55,9.33,NULL,NULL,30,"Gujarat Titans",NULL,NULL,NULL,NULL,"Mumbai Indians
Royal Challengers Bengaluru"
"Vivrant Sharma",2,1,69,NULL,140.82,69.00,12.33,NULL,69,"Mumbai Indians",0/18,"Rajasthan Royals",NULL,1,"Sunrisers Hyderabad"
"VR Aaron",50,12,50,44,68.49,12.50,9.22,34.70,17,"Punjab Kings",3/16,"Kolkata Knight Riders",NULL,NULL,"Delhi Capitals
Punjab Kings
Rajasthan Royals
Royal Challengers Bengaluru"
"VR Iyer",49,49,1326,3,132.60,31.57,10.74,48.33,104,"Mumbai Indians",2/29,"Delhi Capitals",1,11,"Kolkata Knight Riders"
"VRV Singh",18,2,4,12,133.33,4.00,9.15,45.75,4,"Mumbai Indians",3/29,"Delhi Capitals",NULL,NULL,"Punjab Kings"
"VS Malik",13,2,7,6,100.00,7.00,7.84,44.67,6,"Mumbai Indians",2/14,"Sunrisers Hyderabad",NULL,NULL,"Punjab Kings
Rajasthan Royals"
"VS Yeligati",2,1,2,NULL,100.00,2.00,12.20,NULL,2,"Punjab Kings",0/16,"Chennai Super Kings",NULL,NULL,"Mumbai Indians"
"VVS Laxman",20,20,282,NULL,104.06,17.63,NULL,NULL,52,"Royal Challengers Bengaluru",NULL,NULL,NULL,1,"Deccan Chargers
Kochi Tuskers Kerala"
"VY Mahesh",17,5,15,21,53.57,7.50,9.04,24.33,6,"Punjab Kings",4/36,"Mumbai Indians",NULL,NULL,"Delhi Capitals"
"W Jaffer",8,8,130,NULL,100.78,18.57,NULL,NULL,50,"Chennai Super Kings",NULL,NULL,NULL,1,"Royal Challengers Bengaluru"
"WA Mota",10,8,56,4,73.68,11.20,8.17,24.50,25,"Chennai Super Kings",1/6,"Delhi Capitals",NULL,NULL,"Punjab Kings"
"Washington Sundar",59,38,378,37,110.85,14.54,7.60,36.08,40,"Rajasthan Royals",3/16,"Mumbai Indians",NULL,NULL,"Rising Pune Supergiant
Royal Challengers Bengaluru
Sunrisers Hyderabad"
"WD Parnell",33,13,65,35,75.58,6.50,8.03,27.66,16,"Deccan Chargers",3/10,"Rajasthan Royals",NULL,NULL,"Delhi Capitals
Pune Warriors
Royal Challengers Bengaluru"
"WG Jacks",8,8,230,2,172.93,38.33,11.11,50.00,100,"Gujarat Titans",1/23,"Sunrisers Hyderabad",1,1,"Royal Challengers Bengaluru"
"WP Saha",143,143,2934,NULL,123.90,24.86,NULL,NULL,115,"Kolkata Knight Riders",NULL,NULL,1,13,"Chennai Super Kings
Gujarat Titans
Kolkata Knight Riders
Punjab Kings
Sunrisers Hyderabad"
"WPUJC Vaas",13,11,81,18,110.96,11.57,7.74,20.22,20,"Rajasthan Royals",3/21,"Chennai Super Kings",NULL,NULL,"Deccan Chargers"
"X Thalaivan Sargunam",1,1,10,NULL,58.82,10.00,NULL,NULL,10,"Chennai Super Kings",NULL,NULL,NULL,NULL,"Sunrisers Hyderabad"
"Y Gnaneswara Rao",2,1,19,NULL,105.56,19.00,7.00,NULL,19,"Chennai Super Kings",0/7,"Rajasthan Royals",NULL,NULL,"Kochi Tuskers Kerala"
"Y Nagar",20,20,285,4,105.17,20.36,11.36,31.25,44,"Chennai Super Kings",2/20,"Royal Challengers Bengaluru",NULL,NULL,"Delhi Capitals"
"Y Prithvi Raj",2,1,0,1,0.00,NULL,11.40,57.00,0,"Sunrisers Hyderabad",1/29,"Sunrisers Hyderabad",NULL,NULL,"Kolkata Knight Riders"
"Y Venugopal Rao",57,52,985,6,113.87,23.45,9.39,56.33,71,"Kolkata Knight Riders",2/23,"Rajasthan Royals",NULL,3,"Deccan Chargers
Delhi Capitals
Sunrisers Hyderabad"
"YA Abdulla",11,1,0,15,0.00,NULL,8.93,20.73,0,"Delhi Capitals",4/31,"Royal Challengers Bengaluru",NULL,NULL,"Punjab Kings"
"Yash Dayal",28,1,0,28,0.00,0.00,9.69,33.32,0,"Kolkata Knight Riders",3/20,"Delhi Capitals",NULL,NULL,"Gujarat Titans"
"Yash Thakur",19,NULL,NULL,24,NULL,NULL,10.43,29.25,NULL,NULL,5/30,"Gujarat Titans",NULL,NULL,NULL
"Yashpal Singh",4,4,47,NULL,70.15,11.75,NULL,NULL,20,"Rajasthan Royals",NULL,NULL,NULL,NULL,"Kolkata Knight Riders"
"YBK Jaiswal",52,52,1607,NULL,146.76,32.80,36.00,NULL,124,"Mumbai Indians",0/6,"Royal Challengers Bengaluru",2,9,"Rajasthan Royals"
"YK Pathan",161,154,3222,42,138.05,30.69,7.55,34.36,100,"Mumbai Indians",3/20,"Kochi Tuskers Kerala",1,14,"Kolkata Knight Riders
Rajasthan Royals
Sunrisers Hyderabad"
"Younis Khan",1,1,3,NULL,42.86,3.00,NULL,NULL,3,"Punjab Kings",NULL,NULL,NULL,NULL,"Rajasthan Royals"
"YS Chahal",159,17,37,205,41.57,6.17,7.98,22.83,8,"Chennai Super Kings",5/40,"Kolkata Knight Riders",NULL,NULL,"Rajasthan Royals
Royal Challengers Bengaluru"
"Yudhvir Singh",5,4,22,4,137.50,5.50,10.42,31.25,14,"Delhi Capitals",2/19,"Punjab Kings",NULL,NULL,"Lucknow Super Giants"
"Yuvraj Singh",129,127,2754,36,124.78,25.74,7.53,30.31,83,"Rajasthan Royals",4/29,"Delhi Capitals",NULL,13,"Delhi Capitals
Mumbai Indians
Pune Warriors
Punjab Kings
Royal Challengers Bengaluru
Sunrisers Hyderabad"
"YV Dhull",3,3,16,NULL,69.57,5.33,NULL,NULL,13,"Chennai Super Kings",NULL,NULL,NULL,NULL,"Delhi Capitals"
"YV Takawale",10,10,192,NULL,104.92,24.00,NULL,NULL,45,"Kolkata Knight Riders",NULL,NULL,NULL,NULL,"Mumbai Indians
Royal Challengers Bengaluru"
"Z Khan",99,27,117,102,82.98,8.36,7.80,28.04,23,"Royal Challengers Bengaluru",4/17,"Chennai Super Kings",NULL,NULL,"Delhi Capitals
Mumbai Indians
Royal Challengers Bengaluru"
